Actual_Class,Predicted_Class,Safe_Probability,Warning_Probability,Unsafe_Probability,Conductivity,NO3,Temp,Turbidity,Level,Q,Hour_sin,Hour_cos,Month_sin,Month_cos,IsWeekend,Correct_Prediction
Warning,Warning,0.03777584017265601,0.962224159827344,0.0,70.24,0.18,26.36,5.04,15.480000000000002,150.31433333333334,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1
Unsafe,Unsafe,0.0,0.04,0.96,1008.72,0.3229999999999999,29.56,294.42,7.879428571428571,-82.81200000000001,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,0.0,1
Warning,Warning,0.0,1.0,0.0,169.41,0.247,26.47,41.05,1.19,6.935,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1.0,1
Safe,Safe,0.9998601123529091,0.00013988764709106538,0.0,435.67,0.446,28.25,2.78,0.669,0.8755000000000001,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,0.0,1
Unsafe,Unsafe,0.0,0.004495980436843369,0.9955040195631567,163.9,0.0069999999999999,26.51,85.29,1.493,12.551666666666668,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,1.0,1
Warning,Warning,0.0,1.0,0.0,6510.04,0.326,30.87,36.24,8.193333333333333,-24.92,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.0,1
Warning,Warning,0.0295260320270379,0.9704739679729621,0.0,25353.221,0.828,25.23,6.7,15.808333333333332,95.67366666666668,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,1.0,1
Safe,Safe,0.9956728112658123,0.004327188734187539,0.0,39.32,0.186,22.88,4.45,2.728,110.41666666666669,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.0,1
Safe,Safe,0.9947630160135189,0.0052369839864810485,0.0,212.72,0.201,21.19,1.86,11.03285714285714,98.41766666666668,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1
Warning,Warning,0.0,1.0,0.0,94.13,0.179,26.44,6.04,14.805,92.822,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.008618124901415967,0.991381875098584,0.0,84.75,0.118,25.02,7.92,14.963333333333331,51.24500000000001,-0.8660254037844384,-0.5000000000000004,1.0,6.123233995736766e-17,1.0,1
Warning,Warning,0.0,0.9913575469976272,0.008642453002372695,537.26,0.328,23.66,36.07,0.956,3.669166666666667,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,0.0,1
Safe,Safe,1.0,0.0,0.0,378.51,0.1,25.75,2.25,0.47,0.0666666666666666,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.0,1
Safe,Safe,1.0,0.0,0.0,678.37,0.431,25.16,1.8,0.465,0.0578333333333333,-0.8660254037844384,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.02,0.98,0.0,15568.38,0.114,25.78,9.12,15.257142857142856,176.703,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0,1
Safe,Safe,1.0,0.0,0.0,8800.38,1.17,22.2,1.28,15.485,55.26466666666666,-0.25881904510252157,0.9659258262890681,-0.8660254037844384,-0.5000000000000004,0.0,1
Safe,Safe,1.0,0.0,0.0,5334.48,0.018,28.01,2.46,10.468333333333332,48.76166666666666,0.8660254037844387,-0.49999999999999983,-0.5000000000000004,0.8660254037844384,0.0,1
Warning,Warning,0.0,1.0,0.0,481.7,0.478,21.85,8.86,0.6659999999999999,0.8585000000000002,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.0,1
Safe,Safe,0.9998601123529091,0.00013988764709106538,0.0,461.91,0.487,27.56,2.61,0.6509999999999999,0.763,0.0,1.0,0.8660254037844386,0.5000000000000001,1.0,1
Safe,Safe,1.0,0.0,0.0,1949.8,0.084,25.59,2.06,10.44,-2.096166666666667,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,0.9668553111735244,0.03314468882647563,0.0,377.23,0.051,28.53,4.26,0.745,1.5395,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,0.0,1
Safe,Safe,1.0,0.0,0.0,667.25,0.456,23.9,1.76,0.455,0.0438333333333333,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,1.0,0.0,0.0,90.32,0.1689999999999999,22.76,1.725,10.051428571428572,-25.111,-0.9659258262890684,0.2588190451025203,-0.8660254037844384,-0.5000000000000004,1.0,1
Safe,Safe,0.9423263766065323,0.05767362339346775,0.0,39.36,0.185,23.49,4.32,2.7430000000000003,111.6,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,0.0,1
Warning,Warning,0.0,1.0,0.0,38.98,0.181,26.47,10.04,2.755,112.6,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,1.0,1
Safe,Safe,1.0,0.0,0.0,473.94,0.522,27.93,1.8,0.526,0.2021666666666667,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1.0,1
Safe,Safe,0.9970074622671619,0.0029925377328381057,0.0,59.43,0.297,26.34,2.8,10.425,48.68683333333333,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.0,1.0,0.0,40.2,0.172,26.47,6.57,2.67,106.21666666666668,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1
Safe,Safe,1.0,0.0,0.0,515.08,0.097,25.76,3.38,10.162857142857144,-49.70475,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.0,1
